species,scheme,engine_severity,total_genome_count,non_refseq_count,refseq_count,pass_count,warn_count,fail_count
Streptococcus mutans,qualibact-v1.0,warn,456,422,34,387,37,18
Streptococcus oralis,qualibact-v1.0,warn,300,268,32,249,23,13
Streptococcus parasanguinis,qualibact-v1.0,warn,114,108,6,114,9,11
Streptococcus pneumoniae,qualibact-v1.0,info,111922,111647,275,104825,11315,4309
Streptococcus pseudopneumoniae,qualibact-v1.0,info,805,804,1,727,67,69
Streptococcus pyogenes,qualibact-v1.0,info,43186,42738,448,39716,4181,1952
Streptococcus salivarius,qualibact-v1.0,warn,219,169,50,159,15,7
Streptococcus suis,qualibact-v1.0,warn,5226,5046,180,4655,571,234
Streptococcus uberis,qualibact-v1.0,info,1375,1371,4,1298,104,126
Streptomyces albidoflavus,qualibact-v1.0,warn,205,170,35,156,16,20
Streptomyces anthocyanicus,qualibact-v1.0,warn,128,122,6,110,12,14
Stutzerimonas stutzeri,qualibact-v1.0,warn,290,251,39,232,25,12
Taylorella equigenitalis,qualibact-v1.0,warn,246,195,51,189,18,22
Treponema pallidum,qualibact-v1.0,error,571,553,18,498,45,73
Turicibacter sanguinis,qualibact-v1.0,warn,180,179,1,165,14,20
Vibrio alginolyticus,qualibact-v1.0,warn,552,500,52,476,46,18
Vibrio anguillarum,qualibact-v1.0,warn,147,131,16,119,13,14
Vibrio cholerae,qualibact-v1.0,warn,12155,11979,176,11080,1411,558
Vibrio diabolicus,qualibact-v1.0,warn,143,133,10,123,12,10
Vibrio fluvialis,qualibact-v1.0,warn,282,265,17,244,35,10
Vibrio mediterranei,qualibact-v1.0,warn,204,202,2,199,3,15
Vibrio metschnikovii,qualibact-v1.0,warn,153,147,6,143,9,11
Vibrio parahaemolyticus,qualibact-v1.0,warn,7652,7503,149,6900,1157,236
Vibrio vulnificus,qualibact-v1.0,warn,1316,1285,31,1191,130,43
Wolbachia pipientis,qualibact-v1.0,warn,292,266,26,248,17,20
Xanthomonas arboricola,qualibact-v1.0,warn,146,100,46,97,20,7
Xanthomonas campestris,qualibact-v1.0,warn,818,623,195,572,77,28
Xanthomonas cissicola,qualibact-v1.0,info,518,518,0,470,46,44
Xanthomonas euvesicatoria,qualibact-v1.0,info,892,873,19,787,88,51
Xanthomonas hortorum,qualibact-v1.0,warn,237,214,23,196,21,20
Xanthomonas oryzae,qualibact-v1.0,error,521,293,228,274,34,20
Xylella fastidiosa,qualibact-v1.0,warn,299,204,95,198,11,10
Yersinia enterocolitica,qualibact-v1.0,info,3069,3026,43,2864,313,154
Yersinia intermedia,qualibact-v1.0,error,97,86,11,80,13,9
Yersinia pestis,qualibact-v1.0,info,2365,2133,232,1974,204,179
Yersinia ruckeri,qualibact-v1.0,error,140,95,45,89,13,8
