species,metric,lower_bounds,upper_bounds
Burkholderia mallei,Completeness_Specific,93,
Burkholderia mallei,Contamination,,7
Burkholderia mallei,Total_Coding_Sequences,4200,7200
Burkholderia mallei,Genome_Size,4700000,8200000
Burkholderia multivorans,N50,20000,
Burkholderia multivorans,no_of_contigs,,780
Burkholderia multivorans,GC_Content,65,69
Burkholderia multivorans,Completeness_Specific,95,
Burkholderia multivorans,Contamination,,5
Burkholderia multivorans,Total_Coding_Sequences,4800,7400
Burkholderia multivorans,Genome_Size,5400000,8100000
Burkholderia orbicola,N50,7000,
Burkholderia orbicola,no_of_contigs,,2020
Burkholderia orbicola,GC_Content,65,69
Burkholderia orbicola,Completeness_Specific,98,
Burkholderia orbicola,Contamination,,4
Burkholderia orbicola,Total_Coding_Sequences,5200,8900
Burkholderia orbicola,Genome_Size,5700000,8900000
Burkholderia seminalis,Genome_Size,6500000,9200000
Burkholderia seminalis,GC_Content,65,69
Burkholderia seminalis,Total_Coding_Sequences,5800,8300
Burkholderia seminalis,Completeness_Specific,99,
Burkholderia seminalis,Contamination,,2
Burkholderia seminalis,no_of_contigs,,50
Burkholderia seminalis,N50,403000,
Burkholderia stagnalis,N50,116000,
Burkholderia stagnalis,no_of_contigs,,260
Burkholderia stagnalis,GC_Content,66,69
Burkholderia stagnalis,Completeness_Specific,98,
Burkholderia stagnalis,Contamination,,3
Burkholderia stagnalis,Total_Coding_Sequences,5900,8100
Burkholderia stagnalis,Genome_Size,6700000,9000000
Burkholderia ubonensis,N50,87000,
Burkholderia ubonensis,no_of_contigs,,360
Burkholderia ubonensis,GC_Content,65,69
Burkholderia ubonensis,Completeness_Specific,97,
Burkholderia ubonensis,Contamination,,4
Burkholderia ubonensis,Total_Coding_Sequences,5100,8300
Burkholderia ubonensis,Genome_Size,5700000,9100000
Burkholderia vietnamiensis,N50,33000,
Burkholderia vietnamiensis,no_of_contigs,,440
Burkholderia vietnamiensis,GC_Content,65,69
Burkholderia vietnamiensis,Completeness_Specific,97,
Burkholderia vietnamiensis,Contamination,,4
Burkholderia vietnamiensis,Total_Coding_Sequences,5000,7800
Burkholderia vietnamiensis,Genome_Size,5500000,8500000
Campylobacter coli,N50,28000,
Campylobacter coli,no_of_contigs,,130
Campylobacter coli,GC_Content,29,32
Campylobacter coli,Completeness_Specific,93,
Campylobacter coli,Contamination,,14
Campylobacter coli,Total_Coding_Sequences,1500,2600
Campylobacter coli,Genome_Size,1400000,2400000
Campylobacter fetus,N50,60000,
Campylobacter fetus,no_of_contigs,,130
Campylobacter fetus,GC_Content,32,35
Campylobacter fetus,Completeness_Specific,90,
Campylobacter fetus,Contamination,,9
Campylobacter fetus,Total_Coding_Sequences,1500,2600
Campylobacter fetus,Genome_Size,1500000,2500000
Campylobacter hyointestinalis,N50,44000,
Campylobacter hyointestinalis,no_of_contigs,,100
Campylobacter hyointestinalis,GC_Content,32,36
Campylobacter hyointestinalis,Completeness_Specific,98,
Campylobacter hyointestinalis,Contamination,,3
Campylobacter hyointestinalis,Total_Coding_Sequences,1500,2300
Campylobacter hyointestinalis,Genome_Size,1500000,2100000
Campylobacter jejuni,N50,32000,
Campylobacter jejuni,no_of_contigs,,130
Campylobacter jejuni,GC_Content,29,32
Campylobacter jejuni,Completeness_Specific,94,
Campylobacter jejuni,Contamination,,11
Campylobacter jejuni,Total_Coding_Sequences,1400,2400
Campylobacter jejuni,Genome_Size,1400000,2100000
Campylobacter lari,N50,29000,
Campylobacter lari,no_of_contigs,,150
Campylobacter lari,GC_Content,28,32
Campylobacter lari,Completeness_Specific,94,
Campylobacter lari,Contamination,,4
Campylobacter lari,Total_Coding_Sequences,1300,2000
Campylobacter lari,Genome_Size,1200000,2000000
Campylobacter upsaliensis,N50,24000,
Campylobacter upsaliensis,no_of_contigs,,190
Campylobacter upsaliensis,GC_Content,33,37
Campylobacter upsaliensis,Completeness_Specific,97,
Campylobacter upsaliensis,Contamination,,2
Campylobacter upsaliensis,Total_Coding_Sequences,1400,2200
Campylobacter upsaliensis,Genome_Size,1400000,2000000
Candida auris,Genome_Size,11000000,13600000
Candida auris,GC_Content,44,47
Candida auris,Total_Coding_Sequences,9400,11900
Candida auris,Completeness_Specific,99,
Candida auris,Contamination,,94
Candida auris,no_of_contigs,,110
Candida auris,N50,435000,
Caulobacter vibrioides,N50,4000,
Caulobacter vibrioides,no_of_contigs,,1440
Caulobacter vibrioides,GC_Content,65,69
Caulobacter vibrioides,Completeness_Specific,87,
Caulobacter vibrioides,Contamination,,7
Caulobacter vibrioides,Total_Coding_Sequences,3300,5100
Caulobacter vibrioides,Genome_Size,3400000,4600000
Chlamydia trachomatis,N50,2000,
Chlamydia trachomatis,no_of_contigs,,780
Chlamydia trachomatis,GC_Content,40,44
Chlamydia trachomatis,Completeness_Specific,75,
Chlamydia trachomatis,Contamination,,9
Chlamydia trachomatis,Total_Coding_Sequences,800,1600
Chlamydia trachomatis,Genome_Size,800000,1500000
Chlamydophila pecorum,N50,0,
Chlamydophila pecorum,no_of_contigs,,13820
Chlamydophila pecorum,GC_Content,39,48
Chlamydophila pecorum,Completeness_Specific,51,
Chlamydophila pecorum,Contamination,,7
Chlamydophila pecorum,Total_Coding_Sequences,800,14400
Chlamydophila pecorum,Genome_Size,900000,5800000
Citrobacter amalonaticus,N50,41000,
Citrobacter amalonaticus,no_of_contigs,,300
Citrobacter amalonaticus,GC_Content,51,55
Citrobacter amalonaticus,Completeness_Specific,97,
Citrobacter amalonaticus,Contamination,,5
Citrobacter amalonaticus,Total_Coding_Sequences,3900,6300
Citrobacter amalonaticus,Genome_Size,4200000,6500000
Citrobacter braakii,N50,69000,
Citrobacter braakii,no_of_contigs,,300
Citrobacter braakii,GC_Content,50,54
Citrobacter braakii,Completeness_Specific,96,
Citrobacter braakii,Contamination,,7
Citrobacter braakii,Total_Coding_Sequences,3900,6800
Citrobacter braakii,Genome_Size,4200000,6800000
Citrobacter farmeri,N50,48000,
Citrobacter farmeri,no_of_contigs,,320
Citrobacter farmeri,GC_Content,51,55
Citrobacter farmeri,Completeness_Specific,97,
Citrobacter farmeri,Contamination,,7
Citrobacter farmeri,Total_Coding_Sequences,4000,6500
Citrobacter farmeri,Genome_Size,4400000,6600000
Citrobacter freundii,N50,52000,
Citrobacter freundii,no_of_contigs,,360
Citrobacter freundii,GC_Content,50,54
Citrobacter freundii,Completeness_Specific,91,
Citrobacter freundii,Contamination,,12
Citrobacter freundii,Total_Coding_Sequences,3900,6800
Citrobacter freundii,Genome_Size,4200000,6700000
Citrobacter koseri,N50,72000,
Citrobacter koseri,no_of_contigs,,200
Citrobacter koseri,GC_Content,52,55
Citrobacter koseri,Completeness_Specific,97,
Citrobacter koseri,Contamination,,3
