species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Mycobacterium tuberculosis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Mycobacterium xenopi,enterobase-v2.3,Genome_Size,3000000,7000000,,,external,,3000000,7000000,,,,,,
Mycobacterium xenopi,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Mycobacterium xenopi,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Neisseria bergeri,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria bergeri,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria bergeri,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria flavescens,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria flavescens,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria flavescens,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria gonorrhoeae,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria gonorrhoeae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria gonorrhoeae,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria lactamica,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria lactamica,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria lactamica,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria meningitidis,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria meningitidis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria meningitidis,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria perflava,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria perflava,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria perflava,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Neisseria polysaccharea,enterobase-v2.3,Genome_Size,1800000,2400000,,,external,,1800000,2400000,,,,,,
Neisseria polysaccharea,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Neisseria polysaccharea,enterobase-v2.3,no_of_contigs,,500,,,external,,,500,,,,,,
Pseudomonas aeruginosa,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas aeruginosa,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas aeruginosa,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas alloputida,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas alloputida,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas alloputida,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas asiatica,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas asiatica,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas asiatica,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas avellanae,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas avellanae,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas avellanae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas fluorescens,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
Pseudomonas fluorescens,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Pseudomonas fluorescens,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Pseudomonas fulva,enterobase-v2.3,Genome_Size,5500000,7500000,,,external,,5500000,7500000,,,,,,
