species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Aliarcobacter butzleri,qualibact-v1.0,Contamination,,30,0.07,1,computed,warn,,30,0.07,29.81,0.07150000000000001,1.2064999999999984,0.35,25.79060000000002
Aliarcobacter butzleri,qualibact-v1.0,N50,27000,,39000,293291.65,computed,warn,27000,,27684.9,293291.65,27684.9,293291.64999999997,,
Aliarcobacter butzleri,qualibact-v1.0,no_of_contigs,,200,18.15,160,computed,warn,,200,18.15,190.85,18.15,190.85,,
Aliarcobacter butzleri,qualibact-v1.0,longest,,,107719.2,559267.95,computed,warn,,,107719.2,559267.95,107719.2,559267.95,,
Aliivibrio fischeri,qualibact-v1.0,Genome_Size,4000000,4600000,4100000,4500000,computed,warn,4000000,4600000,4072964.24,4503206,4072964.245,4471672.635000001,4274865.44,4502058.56
Aliivibrio fischeri,qualibact-v1.0,GC_Content,38.08,38.6,38.09,38.54,computed,warn,38.08,38.6,38.0885,38.5947,38.088481,38.594663000000004,38.3210275,38.346272500000005
Aliivibrio fischeri,qualibact-v1.0,Total_Coding_Sequences,3600,4300,3700,4200,computed,warn,3600,4300,3674.83,4206.16,3674.83,4206.155000000002,3953.67,4086.33
Aliivibrio fischeri,qualibact-v1.0,Completeness_Specific,93,,100,100,computed,warn,93,,93.39,100,100,100,93.4165,98.6635
Aliivibrio fischeri,qualibact-v1.0,Contamination,,12,0.01,1,computed,warn,,12,0.01,11.62,0.00915,0.39255000000000023,0.34664999999999996,11.56335
Aliivibrio fischeri,qualibact-v1.0,N50,9000,,10000,550890.58,computed,warn,9000,,9362.46,550890.58,9362.455,550890.5800000004,,
Aliivibrio fischeri,qualibact-v1.0,no_of_contigs,,800,52.92,710,computed,warn,,800,52.92,797.08,52.915,797.085,,
Aliivibrio fischeri,qualibact-v1.0,longest,,,43826.56,1123082.3,computed,warn,,,43826.56,1123082.3,43826.555,1123082.305,,
Alistipes onderdonkii,qualibact-v1.0,Genome_Size,3300000,4000000,3400000,4000000,computed,warn,3300000,4000000,3312673,3981512.34,3400028.265,3981512.345,3312673.225,3868107.925
Alistipes onderdonkii,qualibact-v1.0,GC_Content,57.36,58.54,57.47,58.15,computed,warn,57.36,58.54,57.3656,58.5341,57.365643000000006,58.534099499999996,57.8000675,58.249475000000004
Alistipes onderdonkii,qualibact-v1.0,Total_Coding_Sequences,2700,3500,2700,3500,computed,warn,2700,3500,2785.77,3493.62,2785.77,3493.615,2827.05,3198.4
Alistipes onderdonkii,qualibact-v1.0,Completeness_Specific,98,,100,100,computed,warn,98,,98.26,100,99.99,100,98.26375,98.8525
Alistipes onderdonkii,qualibact-v1.0,Contamination,,2,0.19,1,computed,warn,,2,0.19,1.44,0.1877,1.4446000000000003,0.3,1.0967500000000001
Alistipes onderdonkii,qualibact-v1.0,N50,82000,,102000,494013.91,computed,warn,82000,,82065.96,494013.91,82065.96,494013.9100000005,,
